Domain,Target,Target_raw,n_participants,n_nights,SleepArch_Pearson_r_mean,SleepArch_Pearson_r_SD,EmbPlusArch_Pearson_r_mean,EmbPlusArch_Pearson_r_SD,p_comb_vs_arch,q_comb_vs_arch_FDR,p_comb_model_r,q_comb_model_r_FDR
CGM,GMI,gmi,6616,15892,0.0271980687625524,0.0036822615601661,0.2338956469476144,0.0032185841777325,0.0001658808668748,0.0005382556716795001,2.43111391434576e-206,3.0235568374216027e-205
CGM,Mean glucose,mean_glucose,6616,15892,0.0271232579970339,0.0037530965135118,0.2338570747914449,0.0031657625615432,0.0001620397746731,0.0005382556716795001,2.8795779404015265e-206,3.0235568374216027e-205
CGM,PPGR 95th,PPGR_95th,6616,15892,0.0517774925039137,0.0027291837324548,0.1472506268468968,0.0036434413741758,0.001264702638757,0.00189731706356445,1.6076167139234126e-79,6.751990198478333e-79
CGM,Glucose SD,std_glucose,6616,15892,0.0580153843015695,0.0014723665300368,0.1413437821079207,0.0063415531636748,0.0021550416015785,0.0026621102137146177,6.927679487024271e-75,2.424687820458495e-74
CGM,Glucose CV,cv,6616,15892,0.0455049880109019,0.001025067408164,0.1065446457955399,0.003726995650577,0.0010091122378914,0.0018338443988373248,3.728478834729344e-41,6.022927348408939e-41
CGM,TAR >180,tar_above_180,6616,15892,0.0237393183775855,0.0027387890712003,0.1029166623629842,0.0251949183438461,0.0214441473963125,0.022516354766128125,1.4686407477430803e-42,2.5701213085503907e-42
CGM,TIR 70–140,titr_70_140,6616,15892,0.0376094161445706,0.0039076291199625,0.08692697100261,0.0058928434864296,0.0044153177780411,0.005151204074381283,6.71754352205069e-30,8.81677587269153e-30
CGM,TBR <70,tbr_below_70,6616,15892,-0.0029843417641001,0.0007971456445295,0.0472678886226696,0.0028265064537353,0.0009323887752143,0.0018338443988373248,1.19543128300089e-09,1.3212661548957205e-09
CGM,TIR 70–180,tir_70_180,6616,15892,0.0045347652074452,0.0020987367359533,0.0426268220124241,0.0031706304844467,0.0067026005778163,0.007408137480744332,1.80156226296786e-08,1.891640376116253e-08
Food,Energy,Energy,3637,9968,0.0354484599410779,0.0041277523734129,0.2170260027661381,0.0014440505438683,9.68253665709316e-05,0.0005382556716795001,1.2765883822914736e-107,8.936118676040315e-107
Food,Protein,Protein,3637,9968,0.0352296518051139,0.0043533039698567,0.2055066644057933,0.0013561670403357,0.0001004283254879,0.0005382556716795001,2.062137815150131e-95,1.0826223529538187e-94
Food,Fat,Total lipid (fat),3637,9968,-0.0006866151287787,0.0050700304698839,0.175537535099761,0.0016720895164963,0.0002872460788272,0.0007540209569214,9.97238873984662e-71,2.9917166219539865e-70
Food,Fiber,"Fiber, total dietary",3637,9968,0.0424762711417706,0.0056413570707536,0.1621035558943994,0.003092492679364,0.0001794185572265,0.0005382556716795001,1.2592893539648634e-60,2.6445076433262135e-60
Food,Weight,weight,3637,9968,0.0310850951093624,0.002521459148919,0.1303685433705398,0.0038938747592322,0.0001542970094457,0.0005382556716795001,3.363120448555405e-39,5.0446806728331074e-39
Food,Carbohydrate,"Carbohydrate, by difference",3637,9968,0.041628878374819,0.0025042559140589,0.122380733064834,0.0002471856226381,0.0001153152016518,0.0005382556716795001,4.383096323054894e-35,6.136334852276852e-35
Food,Water,Water,3637,9968,0.0323749135821051,0.0017497863051712,0.106707009370651,0.0048531405760169,0.0013840044903171,0.0019376062864439399,1.2797568607799564e-26,1.5808761221399462e-26
Food,Alcohol,"Alcohol, ethyl",3637,9968,0.0025713220241165,0.0043867958348751,0.0999368831795838,0.0028664201347387,0.0012648780423763,0.00189731706356445,1.514789865197722e-23,1.7672548427306757e-23
Food,Caffeine,Caffeine,3637,9968,-0.0134562503345614,0.00461548377737,-0.0045197985990629,0.0010341315625693,0.0411847369698558,0.0411847369698558,0.6055679608198216,0.6055679608198216
Wearables,Basal energy,basal_energy_burned,1117,3245,0.0501023001176175,0.0167321364183836,0.3116151745732127,0.0099636228557568,0.0014998066732116,0.001968496258590225,7.529822656084507e-69,1.9765784472221832e-68
Wearables,Active energy,active_energy_burned,1208,3552,0.0379616476471816,0.0082089138798657,0.2485376195157282,0.009918365753655,0.0008628318327225,0.0018338443988373248,1.529400990918483e-50,2.9197655281171043e-50
Wearables,Step count,step_count,2803,9615,0.0292771653307946,0.0044447398031113,0.1491673656059933,0.0026541193119368,0.0010479110850499,0.0018338443988373248,2.005244527864536e-66,4.678903898350584e-66
